	TCGA-BG-A3EW-11A-22R-A22K-07	TCGA-AX-A2HA-11A-11R-A18M-07	TCGA-AX-A05Y-11A-11R-A27V-07	TCGA-AJ-A3NH-11A-11R-A22K-07	TCGA-BG-A3PP-11A-11R-A22K-07	TCGA-AX-A1CI-11A-11R-A137-07	TCGA-AX-A0IZ-11A-11R-A27V-07	TCGA-BK-A13C-11A-11R-A118-07	TCGA-BK-A0CB-11A-33R-A104-07	TCGA-AX-A2HD-11A-11R-A32Y-07	TCGA-AX-A1CK-11A-11R-A137-07	TCGA-AX-A0J0-11A-11R-A27V-07	TCGA-BK-A4ZD-11A-12R-A27V-07	TCGA-DI-A2QU-11A-11R-A18M-07	TCGA-AJ-A3NE-11A-11R-A22K-07	TCGA-BG-A2AD-11A-11R-A16F-07	TCGA-AJ-A3NC-11A-11R-A22K-07	TCGA-E6-A1M0-11A-11R-A144-07	TCGA-AX-A2H8-11A-11R-A17B-07	TCGA-AX-A2HC-11A-11R-A32Y-07	TCGA-AX-A1CF-11A-11R-A137-07	TCGA-DI-A2QY-11A-11R-A19W-07	TCGA-AJ-A2QL-11A-11R-A18M-07	TCGA-BG-A3EW-01A-11R-A22K-07	TCGA-AX-A2HA-01A-12R-A18M-07	TCGA-AX-A05Y-01A-11R-A00V-07	TCGA-AJ-A3NH-01A-11R-A22K-07	TCGA-BG-A3PP-01A-11R-A22K-07	TCGA-AX-A1CI-01A-11R-A137-07	TCGA-AX-A0IZ-01A-11R-A118-07	TCGA-BK-A13C-01A-11R-A118-07	TCGA-BK-A0CB-01A-32R-A104-07	TCGA-AX-A2HD-01A-21R-A17B-07	TCGA-AX-A1CK-01A-11R-A137-07	TCGA-AX-A0J0-01A-11R-A109-07	TCGA-BK-A4ZD-01A-11R-A27V-07	TCGA-DI-A2QU-01A-11R-A18M-07	TCGA-AJ-A3NE-01A-11R-A22K-07	TCGA-BG-A2AD-01A-21R-A16F-07	TCGA-AJ-A3NC-01A-11R-A22K-07	TCGA-E6-A1M0-01A-11R-A144-07	TCGA-AX-A2H8-01A-11R-A17B-07	TCGA-AX-A2HC-01A-11R-A17B-07	TCGA-AX-A1CF-01A-11R-A137-07	TCGA-DI-A2QY-01A-12R-A19W-07	TCGA-AJ-A2QL-01A-11R-A18M-07
ENSG00000003096.14|KLHL13	2.2228972762563	1.38017531174203	3.6780606340136	2.50617029784571	1.44715597919675	2.44143036023063	3.70033983579614	3.98607411539133	3.31681189341368	1.3007094716501	1.74811769328557	3.15151790566078	4.03855031440732	3.63838667688289	3.85340687554875	1.96543337855623	3.54171306631464	1.68701588345034	3.56606012869139	4.05298965825274	1.68216874669552	2.14215199719149	2.15946772926677	0.927744782677284	1.20783039595869	1.92151250065616	1.7995847013697	1.037663353205	0.388465097283154	0.363899951686622	1.23774725562991	0.435948564860534	1.37055489942539	1.25035527176305	2.46323008251262	1.3110380300223	0.579276710828628	0.107553970289646	0.443924857933742	1.12703891221075	0.92097922723563	1.46988597627446	2.24113849104758	1.51075942155217	1.01564029037688	3.5236121358814
ENSG00000003249.15|DBNDD1	1.03026544285767	1.70880524381954	0.659376595475911	2.69309661038579	2.12489054407396	2.51098722949467	0.337996463515016	0.456070160781307	0.786763621185051	2.66295741957065	2.67601911334863	1.24707683193082	0.724475653596602	1.08386009538357	1.46131900249075	1.09538436289022	0.826762015776306	2.19597745864259	0.637934775535145	0.247684512762383	2.89126363182508	2.61284786089255	2.26300434937402	4.3666928955284	4.37137067272441	4.10793889649493	5.08525042772878	4.86025269404726	0.751378022449154	3.21437352443645	3.48694600930247	3.94940419744591	4.15518253334762	4.93356319650866	4.15613769788899	4.40513465394014	2.93147505195489	2.65074158608303	4.67729399262659	3.78643953868929	4.55829825119776	5.24946809634867	1.31672502157875	3.43397428007669	3.89208010863284	4.39635817484115
ENSG00000003436.16|TFPI	3.32844874527508	2.07176266930009	2.95104686927059	1.69113211957381	1.60956586786181	1.99779821077132	3.25581794011496	2.98079307045385	1.72329642803775	2.97443753507103	1.12340133597191	2.51926511406839	2.44450805421715	1.88491045478118	2.22583018037859	3.73338688224022	3.22212446737522	2.03657366450685	2.96351111568117	3.0663647834844	1.81713204366913	1.05561215668669	0.965396436105914	1.0142838706626	0.51984379730947	0.0729975597999501	0.974822960976833	0.355805638944072	0.577827591236248	1.39993668138128	0.371503105204436	1.3247530096545	0.361656083062749	0.59912732633497	0.218347209278499	0.385486258913337	0.513995979367013	0.467592508712949	0.295017665151298	1.18421680809224	0.162338957724597	0.45122430212669	0.143785224708602	0.399663303888018	0.703012079250873	0.622086970988523
ENSG00000003989.18|SLC7A2	3.71965440298456	6.04830158681069	2.35179791494717	5.53846056391804	4.57955429259903	5.41976808653798	3.25681442248602	3.18770441400355	2.20820508950445	3.87938229974868	5.77542196919726	2.39380057504463	2.89952369185196	2.55380282922981	5.3266883400183	3.65232586784077	2.86461207927824	5.38973543753981	3.15752883990666	1.53146879941018	4.22115787376341	5.32632880956306	6.0599565636775	6.32404369791554	1.78362427803265	0.057554246458089	0.575505968032991	0.223669671388246	2.01174608498738	3.26752081673403	0.503450509005569	0.873891924453395	0.79917021719962	0.119156941873632	0.0903114713760366	4.62796863374996	1.27148543852706	3.92816183970684	0.21586493915324	0.89894354290607	0.140255134034916	4.85330206896674	1.81221068450189	0.630591854150484	0.554146766746513	0.719840555064268
ENSG00000004776.13|HSPB6	5.62172369718201	5.52120781622399	3.14626419486653	4.04951750823349	6.09344820069878	5.16405010352752	3.40134375569883	6.31801489235573	6.31144498798621	6.2357442893734	3.21020181320488	3.72230207253718	4.51711818515321	6.23273173870963	4.70169320835401	5.92399533873386	4.62437583463637	7.26208262705425	6.45862971641201	6.15358851027869	5.78788166953824	2.52233200483805	3.62927501077923	0.318230060075918	0.581592278836014	5.00538651294391	0.940053962096955	1.02140865693871	0.701238528052177	2.64862650046903	3.5054082573458	3.13612574807694	0.495695162624069	1.6396026312595	0.625644559524164	3.05992628907613	4.05391068090121	0.245860701840353	2.72489033716605	0.583807882779664	0.352419559215162	1.80525117618209	0.74226496704013	2.42940171979661	2.19786539135374	1.08406426478847
ENSG00000004799.8|PDK4	5.96637509156184	6.02625562690589	5.12494429228615	4.41980178861779	6.62124309774001	3.82317869009564	7.54887121735314	6.35455265768701	4.57708435291423	5.95499190017822	3.48487282896951	4.28022884591475	4.86494382494196	3.12611385352867	4.76695552547256	5.51515734603423	7.56463881793863	6.27854795770771	4.74701136907005	4.77326846640461	3.93442214303666	3.92353904536885	4.22518236733818	2.93111569975779	4.05705163470062	0.573665363064385	0.90558195876639	1.23505303211445	1.09470900708681	2.43004435758785	2.80231731440359	0.865206196587173	1.28871291663483	0.734308590096907	0.751463721165559	2.70294561041331	1.75659635050171	2.39253724527513	3.42278467221412	2.42021289061078	0.489337408889382	1.96532254836725	2.43688140791636	1.75484475501044	1.20645568644288	2.96545184942666
ENSG00000005001.10|PRSS22	0.714223533574192	3.00153204972358	0.65058076460224	2.57073007203984	0.0840642647884745	2.25969431007582	0.0306892040711404	0	0.0970713705439032	1.75561401004188	3.16947609315135	1.88690126768649	0.379399162525578	0.642470537315822	4.31192446968712	0.494773999429494	0.189160371036376	0.0263043243519085	0.147567207094632	0.0285691521967709	2.22342254993494	2.99006537798741	1.64887955441347	2.75548582935078	2.90827491847906	3.97522663008677	1.57012286181475	1.98484451074783	3.26889844872166	2.87054227112395	3.80419815173969	3.19681160022427	3.22505894139085	2.05727696507325	1.80669525353176	0.169668499523086	2.45325416949395	4.29320124750442	3.5338872330221	3.83137058796754	0.437334285572305	4.67311540747874	0	4.96383012978414	3.09922786577486	3.66310547882225
ENSG00000005102.14|MEOX1	3.91780407734	2.58168868022865	3.81520651080661	1.18631038319851	0.116497840501748	1.26020635801053	3.59114081876012	3.63652022074326	3.55853704260835	4.42722399569148	0.697684871372977	2.54759789151252	2.94856347149001	2.6099440317017	2.63823605882764	4.30567874324229	3.6231059930332	0.0465609057577412	4.01781503773973	4.06540859467343	0.869160738400117	0.666029381213045	0.448478121411477	0.213005038545048	0.731357049781661	0	1.65347281194971	0.0659858294985853	0.0739572999433244	1.28036248997378	0.120219211624994	0.157302466318974	0.252052275031513	0.241107974934054	0.327227467761286	0.511366829479557	0.185993370069966	0.768586635000888	5.47328363362686	0.0697021666300674	0.253505262186697	1.34175808507872	0.036327491817765	0.482538547845415	0.637471139884759	0.767739535545578
ENSG00000005243.10|COPZ2	4.77745653862032	2.60229058486114	3.55661334274399	2.72303424696587	2.22644687485703	2.49321179565921	4.19094665771353	4.17100661716776	4.51716228914239	4.0627002630786	2.00927550157487	3.2053768722388	4.130329621624	3.727735342192	2.91645753576758	4.42997073652696	3.36047665347458	3.05278104316218	3.83767081920623	5.16204886834889	2.66791482678319	1.66083736769628	1.51495543636791	1.95158779481475	1.08270258933025	1.29730882338891	1.03442703214237	1.91103958564429	0.929866727754094	1.88635504352516	1.31903981556254	3.37357861510511	0.929639525720885	1.86092308099922	1.22971096184702	1.34374891183543	1.6864781162124	1.02892271059601	1.94425875961335	0.915482657831815	1.24895980995816	0.80066180324495	0.506398831527454	3.97558433330703	2.21856420484797	0.922197848396367
ENSG00000005249.13|PRKAR2B	2.83163406984954	2.50913841571771	3.39861031663164	2.80138632314268	5.53422038478949	2.64864950720732	3.77630405599415	3.03499039234512	2.47638168756724	2.9833311144399	2.20517352704527	3.91126973560743	3.18281940161221	2.86137975887641	3.03571187625865	3.352094642216	3.78655454403719	4.94800271521245	3.44588558172038	3.1654135403631	2.27369491003708	2.2509312644955	2.25544030486544	0.9306994958852	0.622649279053673	0.160403925860014	0.455859809386185	3.32798909154489	0.164914969552451	2.54952132078964	0.420293749346622	0.850959402615655	0.4132691144968	0.227987458734593	1.46304693796088	0.224534263279729	0.864176237701529	1.18738770708047	0.805952765717343	1.30707873853982	0.507820006042353	1.7159812031884	0.224163787341664	2.53480866123175	0.667665090051406	2.82493074529249
