Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
double-stranded DNA binding (GO:0003690)	58/651	0.0012449334459759	0.0268263078036097	58	0.0890937019969278	THRB;TCF21;MEOX2;NR3C1;MEOX1;GLI3;ELK3;GLI2;NR3C2;SOX18;JUNB;PKNOX2;OSR2;KLF11;MEF2C;MBNL2;RFX2;FOXL2;FOS;KLF15;HIC1;MAF;HAND2;ERG;ATF3;NFIX;HLF;SATB1;GATA6;GATA5;FOXO4;IFI16;EGR1;JUN;EGR2;NR2F1;NR1D2;KLF4;MEIS3;MEIS2;FLI1;PBX1;KLF2;TBX3;TBX2;NR4A2;NR4A1;KLF6;TEF;WT1;BCL6B;SNAI2;FOSB;HOXD4;TCF4;HOXD3;HOXD9;HOXD8
insulin-like growth factor binding (GO:0005520)	5/15	0.00131330682186713	0.0274152799064764	5	0.333333333333333	IGFBP5;IGFBP4;INSR;ITGB3;IGFBP6
carboxypeptidase activity (GO:0004180)	8/38	0.00146513244448151	0.0296578325125349	8	0.210526315789474	CPA3;CPXM2;MINDY2;CPE;CPXM1;AEBP1;CPVL;NAALADL1
WW domain binding (GO:0050699)	7/30	0.0015299844949532	0.0299298443451167	7	0.233333333333333	TCEAL7;TCEAL6;TCEAL4;TCEAL3;TCEAL2;TCEAL1;LITAF
calcium ion binding (GO:0005509)	35/348	0.00156818046718426	0.0299298443451167	35	0.100574712643678	LRP1;C1R;ITPR1;LTBP4;RASGRP2;PKD2;THBS1;SLC8A1;CLEC3B;NCS1;ANXA6;ENPP2;MAN1C1;ENPP1;SLIT3;SLIT2;TGM2;SNCA;AOC3;PRNP;GSN;ANXA13;PLA2G2A;ASPN;NAALADL1;SELP;SMOC2;PLSCR4;RGN;CASQ2;SPARCL1;CDH13;DCHS1;MASP1;FBN1
tropomyosin binding (GO:0005523)	5/16	0.00181781523474914	0.03323710973789	5	0.3125	TMOD1;CALD1;TMOD2;TNNT3;LMOD1
calcitonin family receptor activity (GO:0097642)	3/5	0.00189073378748476	0.03323710973789	3	0.6	RAMP2;CALCRL;RAMP1
ganglioside binding (GO:0035594)	3/5	0.00189073378748476	0.03323710973789	3	0.6	CLIP3;MAG;EPDR1
guanyl ribonucleotide binding (GO:0032561)	24/214	0.00199538245062618	0.0341773199235459	24	0.11214953271028	RASL12;RRAD;INSR;DIRAS1;LRRK2;PDE2A;GIMAP7;GEM;RERG;RHOB;REM1;TUBB6;TUBB2A;RAB31;RRAS;STING1;RHOJ;ANXA6;PDE5A;GBP2;RAB9B;GBP4;RAB8B;TGM2
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	27/256	0.00264744617221903	0.0442123510760577	27	0.10546875	SATB1;TCF21;AEBP1;NR3C1;ZBTB4;ZNF25;ELK3;IFI16;MYC;NACC2;OSR2;JUN;PEG3;ZBTB16;NR2F1;MITF;FOXP2;HIC1;TBX3;TBX2;HEYL;ZEB2;ZEB1;BCL6B;SNAI2;HOXD9;ATF3
vinculin binding (GO:0017166)	4/11	0.00288159517515074	0.046948916512212	4	0.363636363636364	SYNM;DMD;TLN1;CORO2B
