Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
negative regulation of leukocyte apoptotic process (GO:2000107)	5/12	0.000402139913007237	0.00852448233176879	5	0.416666666666667	CXCL12;CCL21;AXL;CCL19;GAS6
negative regulation of vascular permeability (GO:0043116)	5/12	0.000402139913007237	0.00852448233176879	5	0.416666666666667	CLDN5;RAMP2;PDE2A;SLIT2;FERMT2
positive regulation of pseudopodium assembly (GO:0031274)	5/12	0.000402139913007237	0.00852448233176879	5	0.416666666666667	CCL21;CDC42EP5;CDC42EP4;CDC42EP3;CDC42EP1
regulation of angiotensin levels in blood (GO:0002002)	5/12	0.000402139913007237	0.00852448233176879	5	0.416666666666667	CPA3;ENPEP;AOPEP;CTSG;CES1
regulation of pseudopodium assembly (GO:0031272)	5/12	0.000402139913007237	0.00852448233176879	5	0.416666666666667	CCL21;CDC42EP5;CDC42EP4;CDC42EP3;CDC42EP1
smooth muscle cell differentiation (GO:0051145)	5/12	0.000402139913007237	0.00852448233176879	5	0.416666666666667	MEF2C;MYOCD;EDNRB;TMEM204;GATA6
positive regulation of programmed cell death (GO:0043068)	32/286	0.000412820207961083	0.00870306208914677	32	0.111888111888112	LRRK2;CLU;FOXO1;RASSF2;APH1B;CALHM2;ADAMTSL4;RPS6KA2;MAP3K20;CYP1B1;APBB1;SLIT2;MAP3K5;TGM2;SNCA;NGFR;KLF11;JUN;GADD45B;ANO6;FOXL2;NGF;GADD45G;RHOB;CLIP3;SFRP4;TIAM1;OLFM1;SFRP1;KCNMA1;NEURL1;ARHGEF6
positive regulation of endocytosis (GO:0045807)	10/48	0.000422572892809727	0.00882810291033643	10	0.208333333333333	CLIP3;DAB2;RAB31;LRP1;CCL21;AXL;ANO6;CCL19;CLU;SNCA
cellular response to glucocorticoid stimulus (GO:0071385)	6/18	0.000425616158974229	0.00882810291033643	6	0.333333333333333	ZFP36;KLF9;FAM107A;NR3C1;ZFP36L2;AQP1
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	6/18	0.000425616158974229	0.00882810291033643	6	0.333333333333333	MAP3K3;AKT3;RHOJ;KDR;FGF2;JCAD
aortic valve morphogenesis (GO:0003180)	8/32	0.000432152926005798	0.00886832972622537	8	0.25	HEYL;ELN;TIE1;GATA5;SNAI2;EMILIN1;SLIT3;SLIT2
