Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Urothelial Carcinoma	23/257	0.000988969301105592	0.021542985270091	23	0.0894941634241245	DNMT1;PCNA;RRM2;CDKN2A;MSI1;MKI67;FOXM1;TMPRSS13;MMP9;AURKA;CDC20;MUC1;ERBB3;CCNE1;STMN1;DNMT3B;SDC1;PRAME;ANGPTL4;KPNA2;EZH2;CDKN3;MAD2L1
Secondary malignant neoplasm of liver	38/508	0.000995657372610111	0.0216065192715278	38	0.0748031496062992	GPI;PCNA;LEF1;TACSTD2;MIR429;AQP5;FOXM1;TYMS;ASCL2;HK2;AURKB;AURKA;MUC1;CHAF1A;PTTG1;ERBB3;EPCAM;SPP1;E2F1;NEK2;CA9;PROM1;TMSB10;MSX2;CDKN2A;TNFRSF10B;KIF22;MMP9;NME1;MMP12;MMP11;CEACAM1;FASN;ESRP1;CD24;GAPDH;EZH2;FOXA2
Carcinoma, Papillary	19/196	0.00103870585494096	0.0224556446904029	19	0.0969387755102041	FBN2;GPI;CDKN2A;PLK1;TACSTD2;SLC2A1;TGFA;CLDN4;MUC1;CLDN3;PAX8;EPCAM;CDH1;MDK;SCGB2A1;GNAS;SFN;GAPDH;MAD2L1
Acute Promyelocytic Leukemia	36/475	0.0010624301050137	0.022882188239186	36	0.0757894736842105	FEN1;PCNA;TFRC;CRABP1;LEF1;TGFA;TYMS;RAP1GAP;AURKB;CCNB1;EBP;MECOM;CHEK2;POLD1;STMN1;EIF4EBP1;PMAIP1;PRAME;PROM1;SOX4;ABCC1;CDKN2A;IDH1;IDH2;ISG15;MMP9;SMARCA4;NME1;CCNA2;GPRC5A;CDK1;BIRC5;MT1G;F2RL1;TRIB3;XPR1
Sloping forehead	11/84	0.00107941442105854	0.0230528076507117	11	0.130952380952381	PLK4;ASPM;CENPE;STIL;PSAT1;DDX11;KIF14;KIF11;KNL1;WDR62;MFSD2A
Uterine Cervical Neoplasm	14/124	0.0010844561779	0.0230528076507117	14	0.112903225806452	TOP2A;CMTM7;PCNA;CDKN2A;TYMS;TMPRSS13;MMP9;SLC7A1;CDH1;E2F1;CDK2AP2;BIRC5;LAMTOR2;APOBEC3B
Adult Hepatocellular Carcinoma	12/97	0.00108644755903162	0.0230528076507117	12	0.123711340206186	ABCC3;DNMT1;PCNA;TFRC;CDH1;CCNE1;MTHFD2;CDKN2A;CDK1;DNMT3B;TGFA;FOXM1
Ductal Breast Carcinoma	12/97	0.00108644755903162	0.0230528076507117	12	0.123711340206186	CLDN4;PCNA;CDKN2A;HMGA1;GNAS;E2F1;BUB1B;TGFA;TMPRSS2;RAD54L;SOX4;MAD2L1
Single kidney	6/28	0.00114887038186141	0.024198082417956	6	0.214285714285714	ASPM;STIL;KIF14;WDR62;KNL1;MFSD2A
Cartilage-hair hypoplasia	6/28	0.00114887038186141	0.024198082417956	6	0.214285714285714	EBP;ABCC1;MARCKSL1;HS6ST1;SOX4;NME1
Malignant Pleural Mesothelioma	23/260	0.00115548589593709	0.0242482736184014	23	0.0884615384615385	ST14;DNMT1;CDKN2A;SLC52A2;ADM;TYMS;KAZALD1;MMP9;NDC80;HAPLN1;TM7SF2;MAPK13;MUC1;EPCAM;STMN1;ZIC1;SPP1;CDK1;BIRC5;PROM1;SLC16A3;CDKN3;MAD2L1
Nervous System Neoplasms	8/49	0.00120832214415361	0.025264516656409	8	0.163265306122449	TOP2A;MYCN;MDK;CDKN2A;CHEK2;ENC1;BIRC5;MSI1
Cleft upper lip	17/169	0.00124742227863821	0.0259872081247939	17	0.100591715976331	TFAP2A;MSX2;GAD1;RIPK4;TGFA;ESCO2;TYMS;MMP9;PORCN;FRAS1;CDH1;FGF18;NSD2;IRF6;MSX1;SLC19A1;NECTIN1
Syndactyly of fingers	10/73	0.0012673112599159	0.0261166410361806	10	0.136986301369863	PORCN;FRAS1;CDH1;CKAP2L;DLX5;DLX6;RIPK4;LRP4;IRF6;NECTIN1
