Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	10/22	9.99112262585017e-09	1.53054483273143e-06	10	0.454545454545455	CDC20;MAD2L2;CENPF;PLK1;BUB1B;TTK;TRIP13;BUB1;ZWINT;MAD2L1
mitotic cell cycle phase transition (GO:0044772)	30/209	1.05879723927777e-08	1.54825032670754e-06	30	0.143540669856459	CCNF;PKMYT1;FOXM1;AURKA;CCNB2;CCNB1;CHEK2;EIF4EBP1;E2F1;RCC1;NEK2;E2F3;PLK4;CDKN2A;UBE2C;PLK1;CDC7;TUBG1;CDC25C;CDC25A;CCNA2;CCNA1;MELK;CCNE1;UBE2S;TACC3;CDK1;CCNO;FBXL6;CDKN3
DNA metabolic process (GO:0006259)	35/277	1.89283235177549e-08	2.6474963807225e-06	35	0.126353790613718	TOP2A;FEN1;DNMT1;PCNA;MCM7;UHRF1;HMGB3;MCM10;TYMS;RECQL4;RAD51AP1;ORC6;CDC45;ORC1;EXO1;POLD1;CHEK1;RAD54L;KPNA2;CDT1;HELLS;RMI2;XRCC2;FANCA;CDC7;CDC6;TICRR;NEIL3;RAD51;UBE2T;TIMELESS;CDK1;MCM4;DNA2;MCM2
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	7/10	3.25379270391724e-08	4.36143797020907e-06	7	0.7	CCNB1;RACGAP1;SPAG5;RCC2;NEK2;ECT2;KNSTRN
cytoskeleton-dependent cytokinesis (GO:0061640)	16/72	6.68666603013425e-08	8.60440184757675e-06	16	0.222222222222222	RTKN;PLK1;CKAP2;KIF23;CENPA;AURKB;ANLN;ESPL1;RACGAP1;INCENP;KIF4A;STMN1;JTB;KIF20A;ECT2;CEP55
positive regulation of cell cycle process (GO:0090068)	19/101	7.06572531036066e-08	8.7424762782424e-06	19	0.188118811881188	PLK4;FEN1;SPAG5;DDX11;RCC2;KIF14;TGFA;CDC7;KIF23;CDC6;NDC80;AURKB;AURKA;CCNB1;RACGAP1;ECT2;E2F7;E2F8;MAD2L1
regulation of cell cycle process (GO:0010564)	19/106	1.57581997099898e-07	1.87756031359396e-05	19	0.179245283018868	PLK4;RMI2;SPAG5;PLK1;KIF11;MKI67;CDC25C;PKMYT1;KNSTRN;AURKB;AURKA;RACGAP1;CHEK1;RCC1;NEK2;KIF20A;ECT2;BUB1;RAB11FIP4
double-strand break repair via break-induced replication (GO:0000727)	7/12	1.98746030612008e-07	2.28344993028154e-05	7	0.583333333333333	GINS2;CDC45;MCM7;GINS4;MCM4;CDC7;MCM2
DNA replication checkpoint signaling (GO:0000076)	8/17	2.26188701066719e-07	2.50913465976425e-05	8	0.470588235294118	CDT1;CDC45;ORC1;TIMELESS;CDC6;CLSPN;DNA2;TICRR
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	15/74	6.12441164570058e-07	6.56741075473959e-05	15	0.202702702702703	PCNA;FOXM1;CDC25C;AURKA;CCNB1;MUC1;CHEK2;MYO6;E2F1;CDK1;SFN;GTSE1;SOX4;E2F7;E2F8
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	13/56	6.65012310848174e-07	6.90111162580186e-05	13	0.232142857142857	PCNA;CDC25C;AURKA;CCNB1;MUC1;CHEK2;E2F1;CDK1;SFN;GTSE1;SOX4;E2F7;E2F8
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	15/82	2.41288693129445e-06	0.000239762316136445	15	0.182926829268293	CDKN2A;CCNF;PLK1;CDC6;CDC25C;PKMYT1;CDC25A;CCNA2;CCNA1;CCNB2;CCNB1;PSRC1;CCNE1;CCNO;CDKN3
regulation of mitotic sister chromatid separation (GO:0010965)	7/16	2.45948288234463e-06	0.000239762316136445	7	0.4375	CENPE;PTTG1;UBE2C;NEK6;PLK1;TACC3;CDC6
chromosome condensation (GO:0030261)	11/45	2.79402985105057e-06	0.000264364530318521	11	0.244444444444444	TOP2A;CCNB1;INCENP;CDCA5;PLK1;CDK1;NCAPG;NCAPD2;SMC4;NCAPH;H1-2
regulation of cyclin-dependent protein kinase activity (GO:1904029)	12/54	2.9331199353234e-06	0.000269595623769583	12	0.222222222222222	CCNA2;CCNA1;CCNB2;CCNB1;CCNE1;CCNF;CDC6;CDC25C;PKMYT1;CDC25A;CCNO;CDKN3
DNA replication initiation (GO:0006270)	10/38	3.85334795508545e-06	0.000344339454764164	10	0.263157894736842	CDT1;CDC45;ORC6;MCM7;ORC1;MCM4;MCM10;CDC7;CDC6;MCM2
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	13/65	4.0102402312044e-06	0.000348674130372556	13	0.2	PCNA;CDC25C;AURKA;CCNB1;MUC1;CHEK2;E2F1;CDK1;SFN;GTSE1;SOX4;E2F7;E2F8
double-strand break repair via homologous recombination (GO:0000724)	16/97	4.6183109103992e-06	0.000390976478914585	16	0.164948453608247	GINS2;FEN1;MCM7;XRCC2;GINS4;TONSL;CDC7;REC8;RAD51AP1;RECQL4;CDC45;RAD51;MCM4;RAD54L;AUNIP;MCM2
DNA integrity checkpoint signaling (GO:0031570)	10/39	4.97964132193317e-06	0.000410756567504077	10	0.256410256410256	H2AX;CDT1;CDC45;CHEK2;CHEK1;E2F1;TIMELESS;CLSPN;CDC6;DNA2
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	5/8	8.03679243801739e-06	0.000632364947920482	5	0.625	CENPE;UBE2C;NEK6;PLK1;CDC6
DNA repair (GO:0006281)	31/298	8.05936054234994e-06	0.000632364947920482	31	0.104026845637584	H2AX;H2AW;FEN1;PCNA;CDCA5;RECQL4;RAD51AP1;EXO1;CHEK2;POLD1;CHEK1;NSD2;RAD54L;KPNA2;FANCI;RMI2;CENPX;XRCC2;FANCA;TRAIP;TICRR;MAD2L2;NEIL3;RAD51;FANCD2;UBE2T;TIMELESS;CDK1;DNA2;TRIP13;HROB
regulation of mitotic metaphase/anaphase transition (GO:0030071)	8/26	1.02194142139344e-05	0.000782758464910163	8	0.307692307692308	CENPE;CCNB1;ESPL1;UBE2C;NEK6;PLK1;CDC6;DLGAP5
